image,true_label,pred_label
bee/bee_image_496.jpg,0,3
bee/43112406195_45f6376096_n.jpg,0,3
bee/34001199640_96641168a1_n.jpg,0,3
wasp/74427231_eb108c7dc8_n.jpg,3,0
wasp/2570683320_1f738571a6_m.jpg,3,2
bee/18696969590_b2d13b69b2_n.jpg,0,3
other_insect/insect_image_285.jpg,1,0
wasp/W00054.jpg,3,0
wasp/3118025738_bbffb90394_n.jpg,3,0
wasp/43821635452_b4e6782577_w.jpg,3,2
wasp/3845415284_14922f0e04_n.jpg,3,1
wasp/42674660515_85472b77b5_w.jpg,3,0
wasp/W00218.jpg,3,0
wasp/wasp_image_102.jpg,3,1
other_noinsect/flower_image_431.jpg,2,0
other_insect/insect_image_266.jpg,1,3
wasp/24247106092_34f75b85fd_m.jpg,3,1
bee/52034010_52af6aa3e8_n.jpg,0,1
wasp/wasp_image_381.jpg,3,0
other_insect/43873013264_15cf7c500d_m.jpg,1,0
other_insect/insect_image_260.jpg,1,2
wasp/5465661055_35c026899b_n.jpg,3,0
wasp/wasp_image_315.jpg,3,0
other_insect/insect_image_262.jpg,1,0
wasp/W00336.jpg,3,1
wasp/7543861720_1a4b479c3d_n.jpg,3,0
other_insect/insect12.jpg,1,3
wasp/6088787759_63dc57a659_n.jpg,3,1
other_insect/animal_image_160.jpg,1,2
wasp/wasp_image_552.jpg,3,0
wasp/49789124062_0cfa1c8b61_n.jpg,3,0
bee/46818412964_bb053b6ab2_n.jpg,0,3
other_noinsect/animal_image_15.jpg,2,1
wasp/16047313044_c447072467_n.jpg,3,1
other_noinsect/flower_image_505.jpg,2,0
bee/2945905869_61bb5e9ae6_n.jpg,0,3
wasp/E00015.jpg,3,2
other_noinsect/10920543_5ba1e8166e_n.jpg,2,3
wasp/1388805598_a90317d027_m.jpg,3,2
other_insect/insect_image_60.jpg,1,2
bee/8685406069_6ab288a825_m.jpg,0,3
bee/4788351920_872f036cbc_n.jpg,0,1
bee/52033120_49a69b55c0_n.jpg,0,1
wasp/wasp_image_459.jpg,3,0
other_insect/insect_image_280.jpg,1,0
wasp/wasp_image_193.jpg,3,1
wasp/50058543751_51f3a27d5b_n.jpg,3,1
wasp/wasp_image_255.jpg,3,0
other_noinsect/insect_image_476.jpg,2,1
wasp/wasp_image_214.jpg,3,1
other_insect/insect_image_479.jpg,1,3
other_insect/32614961377_001ab83ea9_n.jpg,1,0
wasp/36858955246_df237850b6_w.jpg,3,1
wasp/48857455_f186b84c74_m.jpg,3,1
wasp/6977869677_360f0cf893_m.jpg,3,2
wasp/20658820355_933b91b6ab_m.jpg,3,0
wasp/wasp_image_296.jpg,3,2
wasp/3693625789_daae7dffa6_n.jpg,3,0
wasp/45800420805_db3ce9862d_n.jpg,3,0
wasp/wasp_image_129.jpg,3,1
wasp/3774852992_c148f68dcd_n.jpg,3,2
other_insect/16975765648_cb0c36369e_w.jpg,1,3
wasp/28728056910_2acc3914e4_n.jpg,3,1
bee/20805806626_e7d551a684_n.jpg,0,1
other_insect/5797334546_2aa6877023_n.jpg,1,3
wasp/4628983422_235608a455_n.jpg,3,0
bee/bee_image_235.jpg,0,2
wasp/229581701_1f77dd3b6b_n.jpg,3,1
wasp/45256826_553a1f5e00_w.jpg,3,0
wasp/wasp_image_187.jpg,3,1
other_insect/21724582523_66a88c12f3_m.jpg,1,0
wasp/4826476628_d1d700ed53_n.jpg,3,1
wasp/wasp_image_220.jpg,3,0
other_noinsect/7671358980_24216fc3f6_n.jpg,2,3
wasp/14028498962_985048b75d_n.jpg,3,1
wasp/wasp_image_436.jpg,3,0
bee/40465916291_d4ee8d42f2_n.jpg,0,1
other_insect/42350957610_fb8da4e15d_m.jpg,1,3
other_noinsect/flower_image_169.jpg,2,3
other_insect/44639171691_5da603733e_n.jpg,1,3
other_insect/32978467323_f85e48a417_n.jpg,1,3
other_insect/6760236851_1464af0520_n.jpg,1,3
other_insect/insect_image_122.jpg,1,2
other_insect/44235778221_652cc0af29_m.jpg,1,3
other_insect/29905370348_546be58ce4_n.jpg,1,3
wasp/wasp_image_489.jpg,3,0
wasp/wasp_image_521.jpg,3,2
other_insect/42755296212_b58b6ca526_n.jpg,1,3
bee/bee_image_740.jpg,0,3
other_insect/41624094641_eb4e91db5f_n.jpg,1,0
wasp/wasp_image_530.jpg,3,2
bee/bee_image_233.jpg,0,3
other_noinsect/39517028_0f3fbfed55_n.jpg,2,3
