image,true_label,pred_label
bee/bee_image_45.jpg,0,2
bee/34001199640_96641168a1_n.jpg,0,3
wasp/2570683320_1f738571a6_m.jpg,3,2
bee/18696969590_b2d13b69b2_n.jpg,0,3
other_insect/insect_image_285.jpg,1,0
wasp/3118025738_bbffb90394_n.jpg,3,0
wasp/19745360585_48137a3a79_n.jpg,3,1
bee/2546927847_f56ebefb9e_m.jpg,0,3
wasp/wasp_image_102.jpg,3,1
other_insect/21870655513_283864d2a5_n.jpg,1,3
other_insect/42945661494_0553c97be3_n.jpg,1,0
other_insect/insect_image_266.jpg,1,3
bee/52034010_52af6aa3e8_n.jpg,0,1
bee/bee_image_755.jpg,0,2
other_insect/11077846445_1fec6908d9_n.jpg,1,3
other_insect/43873013264_15cf7c500d_m.jpg,1,0
other_insect/insect_image_260.jpg,1,2
bee/4628904173_ca1eb968ab_m.jpg,0,1
wasp/wasp_image_315.jpg,3,0
other_insect/14252463222_ea6290a55b_m.jpg,1,3
other_insect/22884899247_0346bc2277_n.jpg,1,3
other_insect/insect_image_262.jpg,1,0
other_insect/insect_image_200.jpg,1,3
wasp/7543861720_1a4b479c3d_n.jpg,3,0
other_insect/6018402695_3d34ce778a_w.jpg,1,3
wasp/wasp_image_337.jpg,3,0
other_noinsect/food_image_91.jpg,2,1
wasp/9634500031_3061da24e2_n.jpg,3,0
wasp/17440617050_e0784b3062_m.jpg,3,0
bee/bee_image_595.jpg,0,2
bee/30114091528_95dc6e360b_w.jpg,0,3
other_insect/7569523786_b25c72a183_m.jpg,1,3
wasp/wasp_image_552.jpg,3,0
bee/44573900412_7451e72d6d_m.jpg,0,3
wasp/49789124062_0cfa1c8b61_n.jpg,3,0
bee/46818412964_bb053b6ab2_n.jpg,0,3
bee/bee_image_754.jpg,0,3
other_noinsect/animal_image_15.jpg,2,0
bee/2945905869_61bb5e9ae6_n.jpg,0,1
bee/bee_image_70.jpg,0,3
other_insect/9460151723_cc262c914e_w.jpg,1,3
other_insect/insect_image_60.jpg,1,2
bee/4788351920_872f036cbc_n.jpg,0,1
bee/52033120_49a69b55c0_n.jpg,0,1
bee/bee_image_147.jpg,0,2
wasp/wasp_image_459.jpg,3,0
other_insect/insect_image_280.jpg,1,0
wasp/wasp_image_193.jpg,3,1
wasp/wasp_image_255.jpg,3,0
other_insect/insect_image_479.jpg,1,3
other_insect/insect_image_278.jpg,1,0
other_insect/40469249881_ebdb54ba83_n.jpg,1,3
wasp/36858955246_df237850b6_w.jpg,3,1
wasp/6977869677_360f0cf893_m.jpg,3,0
wasp/20658820355_933b91b6ab_m.jpg,3,0
wasp/3693625789_daae7dffa6_n.jpg,3,0
other_insect/insect_image_336.jpg,1,3
wasp/45800420805_db3ce9862d_n.jpg,3,0
wasp/3774852992_c148f68dcd_n.jpg,3,0
other_insect/insect_image_542.jpg,1,2
other_insect/insect_image_127.jpg,1,2
other_insect/16975765648_cb0c36369e_w.jpg,1,3
wasp/28728056910_2acc3914e4_n.jpg,3,1
wasp/wasp_image_243.jpg,3,1
other_insect/5797334546_2aa6877023_n.jpg,1,3
wasp/4628983422_235608a455_n.jpg,3,0
bee/bee_image_235.jpg,0,2
other_insect/insect_image_539.jpg,1,0
wasp/wasp_image_187.jpg,3,1
wasp/4826476628_d1d700ed53_n.jpg,3,1
wasp/wasp_image_220.jpg,3,0
wasp/wasp_image_436.jpg,3,0
other_insect/13742178343_fe5a7ba46e_m.jpg,1,0
other_insect/insect_image_176.jpg,1,2
other_insect/36742921223_317303498e_w.jpg,1,3
other_insect/42350957610_fb8da4e15d_m.jpg,1,3
other_noinsect/flower_image_169.jpg,2,3
other_insect/44639171691_5da603733e_n.jpg,1,3
wasp/48365969717_d16f15b4be_m.jpg,3,1
other_insect/32978467323_f85e48a417_n.jpg,1,3
other_insect/6760236851_1464af0520_n.jpg,1,3
other_insect/insect_image_122.jpg,1,2
other_insect/44235778221_652cc0af29_m.jpg,1,3
wasp/wasp_image_521.jpg,3,2
bee/bee_image_740.jpg,0,3
other_insect/41624094641_eb4e91db5f_n.jpg,1,0
bee/bee_image_233.jpg,0,3
